Source,Destination,Packet_Size,Attack_Type,Timestamp,Direction
Client1,Server,842,Benign,0.0,OUT
Client2,Server,1586,DDoS,0.0,OUT
Client2,Server,205,PortScan,0.0,OUT
Client2,Server,964,Exfiltration,0.0,OUT
Client2,Server,379,BruteForce,0.0,OUT
Client1,Server,1555,DDoS,0.0,OUT
Client1,Server,288,BruteForce,0.0,OUT
Client3,Server,152,PortScan,0.0,OUT
Client3,Server,1026,Exfiltration,0.0,OUT
Client4,Server,1201,DDoS,0.0,OUT
Client4,Server,233,BruteForce,0.0,OUT
Client5,Server,191,PortScan,0.0,OUT
Client5,Server,905,Exfiltration,0.0,OUT
Client1,Server,470,Benign,0.5070544386015023,OUT
Client1,Server,1539,DDoS,0.5564928824091402,OUT
Client3,Server,816,Exfiltration,0.5619971740603795,OUT
Client4,Server,295,BruteForce,0.861721965181706,OUT
Client2,Server,256,PortScan,0.8753263789818657,OUT
Client1,Server,336,BruteForce,0.9894437007318057,OUT
Client5,Server,1033,Exfiltration,1.0034346809798236,OUT
Client2,Server,1957,DDoS,1.0275107798917156,OUT
Client1,Server,646,Benign,1.150575677822353,OUT
Client3,Server,143,PortScan,1.1772413080918476,OUT
Client2,Server,207,BruteForce,1.3055280220211816,OUT
Client4,Server,1895,DDoS,1.305683923820001,OUT
Client2,Server,816,Exfiltration,1.3105754969158645,OUT
Client5,Server,230,PortScan,1.4276896956742953,OUT
Client1,Server,1694,DDoS,1.4681660420464484,OUT
Client3,Server,1101,Exfiltration,1.6174743250229218,OUT
Client1,Server,311,BruteForce,1.6180316993533777,OUT
Client1,Server,1331,Benign,1.7800127263721304,OUT
Client2,Server,1158,Exfiltration,1.8484936526557199,OUT
Client3,Server,233,PortScan,2.004775114933619,OUT
Client2,Server,1428,DDoS,2.006679620712924,OUT
Client1,Server,810,Benign,2.0210590177664107,OUT
Client5,Server,187,PortScan,2.0253107962172523,OUT
Client2,Server,254,PortScan,2.06379616493594,OUT
Client5,Server,1149,Exfiltration,2.17107027928418,OUT
Client1,Server,855,Benign,2.2481399280401715,OUT
Client3,Server,1062,Exfiltration,2.2547883097377612,OUT
Client1,Server,389,BruteForce,2.3127479733190093,OUT
Client4,Server,301,BruteForce,2.3431682045226125,OUT
Client1,Server,836,Benign,2.5417057829275516,OUT
Client2,Server,245,BruteForce,2.549569759863632,OUT
Client1,Server,1397,DDoS,2.58036550349202,OUT
Client5,Server,208,PortScan,2.6492886640021567,OUT
Client4,Server,1261,DDoS,2.6929714359715016,OUT
Client2,Server,153,PortScan,2.826022159728912,OUT
Client2,Server,1736,DDoS,2.8753484515242254,OUT
Client2,Server,876,Exfiltration,2.8779570311279135,OUT
Client1,Server,1146,Benign,2.902750757473107,OUT
Client1,Server,376,BruteForce,2.9901478973040243,OUT
Client3,Server,170,PortScan,3.0435835544943,OUT
Client3,Server,829,Exfiltration,3.0748224877714856,OUT
Client2,Server,234,BruteForce,3.106133510726369,OUT
Client1,Server,1489,Benign,3.161463654727889,OUT
Client1,Server,1616,DDoS,3.2116557777178416,OUT
Client5,Server,1158,Exfiltration,3.26381876115986,OUT
Client4,Server,1808,DDoS,3.292265971824265,OUT
Client2,Server,1906,DDoS,3.522539534083874,OUT
Client3,Server,236,PortScan,3.5909370591625587,OUT
Client1,Server,971,Benign,3.620503228514691,OUT
Client4,Server,315,BruteForce,3.7613577393706654,OUT
Client2,Server,810,Exfiltration,3.8597470004542145,OUT
Client2,Server,294,PortScan,3.8705731636430847,OUT
Client3,Server,1019,Exfiltration,3.9332433208975357,OUT
Client5,Server,971,Exfiltration,4.040305549921105,OUT
Client1,Server,328,BruteForce,4.065024184631357,OUT
Client5,Server,100,PortScan,4.114725076738413,OUT
Client1,Server,437,Benign,4.144331442410164,OUT
Client2,Server,201,BruteForce,4.260343623411275,OUT
Client1,Server,1418,DDoS,4.372475734295374,OUT
Client4,Server,1244,DDoS,4.578731038660761,OUT
Client2,Server,1902,DDoS,4.639983527215158,OUT
Client1,Server,1173,Benign,4.657036796105462,OUT
Client2,Server,913,Exfiltration,4.81346056376771,OUT
Client1,Server,899,Benign,4.857900633924856,OUT
Client2,Server,240,PortScan,4.883160626514257,OUT
Client3,Server,1166,Exfiltration,4.951742091400083,OUT
Client4,Server,311,BruteForce,4.996023386653089,OUT
Client3,Server,111,PortScan,5.056328622178079,OUT
Client1,Server,269,BruteForce,5.135902344613896,OUT
Client2,Server,287,BruteForce,5.136876558033158,OUT
Client1,Server,1221,Benign,5.246348829051743,OUT
Client5,Server,164,PortScan,5.297494233193023,OUT
Client1,Server,1405,DDoS,5.320677271752663,OUT
Client5,Server,881,Exfiltration,5.46546312018139,OUT
Client4,Server,1637,DDoS,5.652392604915963,OUT
Client3,Server,168,PortScan,5.665151187463816,OUT
Client2,Server,1673,DDoS,5.677248422726889,OUT
Client1,Server,1003,Benign,5.715171626837803,OUT
Client3,Server,801,Exfiltration,5.733982080801208,OUT
Client4,Server,226,BruteForce,5.779150464124431,OUT
Client1,Server,936,Benign,5.936302618915917,OUT
Client2,Server,242,BruteForce,5.958995181679384,OUT
Client2,Server,1091,Exfiltration,6.239580870637437,OUT
Client1,Server,1480,Benign,6.244246476183704,OUT
Client1,Server,1776,DDoS,6.249166738412754,OUT
Client1,Server,360,BruteForce,6.254073980612734,OUT
Client2,Server,211,PortScan,6.353765035617662,OUT
Client5,Server,1084,Exfiltration,6.421752524016492,OUT
Client1,Server,786,Benign,6.554233934961974,OUT
Client3,Server,1093,Exfiltration,6.633615987408424,OUT
Client5,Server,249,PortScan,6.654574974464713,OUT
Client2,Server,1312,DDoS,6.761500266448845,OUT
Client4,Server,1418,DDoS,6.784361056687171,OUT
Client4,Server,205,BruteForce,6.8491905442867065,OUT
Client1,Server,606,Benign,6.936081980692188,OUT
Client3,Server,116,PortScan,7.1101643372280146,OUT
Client5,Server,1084,Exfiltration,7.169077509860213,OUT
Client2,Server,363,BruteForce,7.1908490614979295,OUT
Client1,Server,1191,Benign,7.243504082544475,OUT
Client2,Server,1270,DDoS,7.445596291565006,OUT
Client4,Server,361,BruteForce,7.491036805917019,OUT
Client2,Server,168,PortScan,7.497250999642718,OUT
Client1,Server,349,BruteForce,7.50885530858466,OUT
Client4,Server,1575,DDoS,7.515701134164025,OUT
Client1,Server,756,Benign,7.567159021473656,OUT
Client2,Server,826,Exfiltration,7.586043028312378,OUT
Client1,Server,1623,DDoS,7.612041531466998,OUT
Client3,Server,1168,Exfiltration,7.6208189646542195,OUT
Client3,Server,181,PortScan,7.938534175056223,OUT
Client2,Server,350,BruteForce,7.958577311919814,OUT
Client5,Server,125,PortScan,8.064283021426377,OUT
Client2,Server,1425,DDoS,8.079473568851657,OUT
Client1,Server,1855,DDoS,8.126745392051749,OUT
Client3,Server,1141,Exfiltration,8.263650382817378,OUT
Client5,Server,962,Exfiltration,8.268897314503434,OUT
Client1,Server,1048,Benign,8.32295495186362,OUT
Client1,Server,287,BruteForce,8.352954672538711,OUT
Client2,Server,1186,Exfiltration,8.436229976843991,OUT
Client4,Server,1960,DDoS,8.510785260838526,OUT
Client1,Server,733,Benign,8.554382248025963,OUT
Client2,Server,233,PortScan,8.639107770934814,OUT
Client3,Server,278,PortScan,8.703618308980065,OUT
Client1,Server,1406,Benign,8.777387325233514,OUT
Client5,Server,1176,Exfiltration,8.904429886530467,OUT
Client4,Server,394,BruteForce,8.972037042656636,OUT
Client2,Server,1794,DDoS,9.20503277262936,OUT
Client1,Server,1587,DDoS,9.28036447611857,OUT
Client5,Server,112,PortScan,9.307523232286549,OUT
Client3,Server,148,PortScan,9.334660631913428,OUT
Client2,Server,853,Exfiltration,9.349990698955327,OUT
Client2,Server,205,BruteForce,9.435010670183338,OUT
Client1,Server,1490,Benign,9.448578497097092,OUT
Client2,Server,228,PortScan,9.593044407398104,OUT
